Title	Contributors	Expected
Gatherings Coordination - RPP	shannonlanigan.eth,toughtoosk,michellebaldwin.eth,rathermercurial.eth	Jul 31, 2024
Gatherings Coordination - RPP	shannonlanigan.eth,toughtoosk,michellebaldwin.eth,rathermercurial.eth	Jul 31, 2024
Social Impact Paper - RPP	Filsan Farah,manuelagarzon,michellebaldwin.eth,heenal.eth	
Social Impact Paper - RPP	Filsan Farah,manuelagarzon,michellebaldwin.eth,heenal.eth	
Knowledge Curation - RPP	rathermercurial.eth,heenal.eth,ananth.eth	Jan 3
Knowledge Curation - RPP	rathermercurial.eth,heenal.eth,ananth.eth	Jan 3
RPP Stakholder meeting reschedule	Filsan Farah,michellebaldwin.eth	
RPP Stakholder meeting reschedule	Filsan Farah,michellebaldwin.eth	
Reschedule RPP Stakeholder Agenda Prep 	heenal.eth,Filsan Farah,michellebaldwin.eth	
Reschedule RPP Stakeholder Agenda Prep 	heenal.eth,Filsan Farah,michellebaldwin.eth	
OTF Annual Update Review	heenal.eth,michellebaldwin.eth	
OTF Annual Update Review	heenal.eth,michellebaldwin.eth	
Media Coordination - RPP		
Media Coordination - RPP		
Onboarding - RPP	heenal.eth,michellebaldwin.eth,toughtoosk,Filsan Farah	
Onboarding - RPP	heenal.eth,michellebaldwin.eth,toughtoosk,Filsan Farah	
Create one-page overview of challenges & potential solutions/experiments	heenal.eth,michellebaldwin.eth	
Create one-page overview of challenges & potential solutions/experiments	heenal.eth,michellebaldwin.eth	
Onboarding Flow	heenal.eth,michellebaldwin.eth,toughtoosk	
Onboarding Flow	heenal.eth,michellebaldwin.eth,toughtoosk	
Onboarding Guide	heenal.eth,toughtoosk,michellebaldwin.eth	
Onboarding Guide	heenal.eth,toughtoosk,michellebaldwin.eth	
Feedback mechanism	heenal.eth	
Feedback mechanism	heenal.eth	
Operations & Strategy Stewardship - RPP	Filsan Farah,michellebaldwin.eth,yeoro.eth,rathermercurial.eth	Dec 4, 2024
Operations & Strategy Stewardship - RPP	Filsan Farah,michellebaldwin.eth,yeoro.eth,rathermercurial.eth	Dec 4, 2024
Evaluation & Reporting - RPP	Filsan Farah,michellebaldwin.eth,yeoro.eth,rathermercurial.eth,heenal.eth	Dec 4, 2024
Evaluation & Reporting - RPP	Filsan Farah,michellebaldwin.eth,yeoro.eth,rathermercurial.eth,heenal.eth	Dec 4, 2024
Rolecrafting & Contributor Engagement - RPP	Filsan Farah,michellebaldwin.eth,yeoro.eth,rathermercurial.eth,heenal.eth	Dec 4, 2024
Rolecrafting & Contributor Engagement - RPP	Filsan Farah,michellebaldwin.eth,yeoro.eth,rathermercurial.eth,heenal.eth	Dec 4, 2024
Confirm Scoping for EF Experiment	ssnider@equalityfund.ca,heenal.eth,michellebaldwin.eth,toughtoosk,rathermercurial.eth,yeoro.eth	
Confirm Scoping for EF Experiment	ssnider@equalityfund.ca,heenal.eth,michellebaldwin.eth,toughtoosk,rathermercurial.eth,yeoro.eth	
O&S Progress Report Weeks 1-2	rathermercurial.eth	
O&S Progress Report Weeks 1-2	rathermercurial.eth	
O&S Progress Report Week 3	rathermercurial.eth	
O&S Progress Report Week 3	rathermercurial.eth	
O&S Progress Report Week 4	rathermercurial.eth	
O&S Progress Report Week 4	rathermercurial.eth	
Experiment Facilitation Framework - RPP	yeoro.eth	
Experiment Facilitation Framework - RPP	yeoro.eth	
RPP Experiment Discovery (TEMPLATE) (Draft)		Sep 30, 2024
RPP Experiment Discovery (TEMPLATE) (Draft)		Sep 30, 2024
O&S Progress Report Week 5	rathermercurial.eth	
O&S Progress Report Week 5	rathermercurial.eth	
RPP Rolecrafting Task (TEMPLATE)		
RPP Rolecrafting Task (TEMPLATE)		
RPP Contributor Rolecrafting		
RPP Contributor Rolecrafting		
Onboarding Buddy Rolecrafting		
Onboarding Buddy Rolecrafting		
Media Manager Rolecrafting		
Media Manager Rolecrafting		
Make banner image for social impact paper	heenal.eth	
Make banner image for social impact paper	heenal.eth	
O&S Progress Report Week 6	rathermercurial.eth,heenal.eth	
O&S Progress Report Week 6	rathermercurial.eth,heenal.eth	
RPP Code of Conduct		
RPP Code of Conduct		
ICS Discovery Report	heenal.eth	Jan 12
ICS Discovery Report	heenal.eth	Jan 12
(Working draft)Equality Fund Experiment Discovery Report 	yeoro.eth	Sep 30, 2024
(Working draft)Equality Fund Experiment Discovery Report 	yeoro.eth	Sep 30, 2024
O&S Progress Report Week 7	rathermercurial.eth,heenal.eth	
O&S Progress Report Week 7	rathermercurial.eth,heenal.eth	
Playbooks Steward Rolecrafting	yeoro.eth	
Playbooks Steward Rolecrafting	yeoro.eth	
Playbooks - RPP	yeoro.eth,rathermercurial.eth,moreReese	Dec 4, 2024
Playbooks - RPP	yeoro.eth,rathermercurial.eth,moreReese	Dec 4, 2024
Operational Plan for Playbooks project - RPP	yeoro.eth	
Operational Plan for Playbooks project - RPP	yeoro.eth	
Develop Purpose and Goals for Playbooks - RPP	yeoro.eth	Dec 4, 2024
Develop Purpose and Goals for Playbooks - RPP	yeoro.eth	Dec 4, 2024
Playbook research/design tasks - RPP		Dec 4, 2024
Playbook research/design tasks - RPP		Dec 4, 2024
OTF Conversation about project continuation	heenal.eth,rathermercurial.eth,michellebaldwin.eth	
OTF Conversation about project continuation	heenal.eth,rathermercurial.eth,michellebaldwin.eth	
Gatherings Steward Rolecrafting		
Gatherings Steward Rolecrafting		
Playbook Structural Guidelines & Templates	rathermercurial.eth	Dec 5, 2024
Playbook Structural Guidelines & Templates	rathermercurial.eth	Dec 5, 2024
O&S Progress Report Week 8	rathermercurial.eth,heenal.eth	
O&S Progress Report Week 8	rathermercurial.eth,heenal.eth	
Prep OTF Meeting & Progress Report	heenal.eth,rathermercurial.eth,michellebaldwin.eth	Sep 29, 2024
Prep OTF Meeting & Progress Report	heenal.eth,rathermercurial.eth,michellebaldwin.eth	Sep 29, 2024
Convergence of AI & Web3 	heenal.eth,rathermercurial.eth,michellebaldwin.eth	
Convergence of AI & Web3 	heenal.eth,rathermercurial.eth,michellebaldwin.eth	
O&S Progress Report Week 9	rathermercurial.eth,heenal.eth,yeoro.eth	
O&S Progress Report Week 9	rathermercurial.eth,heenal.eth,yeoro.eth	
O&S Progress Report Week 10	rathermercurial.eth,heenal.eth,yeoro.eth	
O&S Progress Report Week 10	rathermercurial.eth,heenal.eth,yeoro.eth	
AIFS Gathering #1: Web3 & Social Impact (task)	heenal.eth,michellebaldwin.eth,shannonlanigan.eth,toughtoosk	Dec 11, 2024
AIFS Gathering #1: Web3 & Social Impact (task)	heenal.eth,michellebaldwin.eth,shannonlanigan.eth,toughtoosk	Dec 11, 2024
Gathering Planning Task	heenal.eth,michellebaldwin.eth,shannonlanigan.eth,toughtoosk	
Gathering Planning Task	heenal.eth,michellebaldwin.eth,shannonlanigan.eth,toughtoosk	
AIFS Gathering #2: Community Governance (task)	heenal.eth,michellebaldwin.eth,shannonlanigan.eth,toughtoosk	Jan 8
AIFS Gathering #2: Community Governance (task)	heenal.eth,michellebaldwin.eth,shannonlanigan.eth,toughtoosk	Jan 8
AIFS Gathering #3: Impact Measurement (task)	heenal.eth,michellebaldwin.eth,shannonlanigan.eth,toughtoosk	Jan 22
AIFS Gathering #3: Impact Measurement (task)	heenal.eth,michellebaldwin.eth,shannonlanigan.eth,toughtoosk	Jan 22
AIFS Gathering #4: AI (task)	heenal.eth,michellebaldwin.eth,shannonlanigan.eth,toughtoosk	Feb 5
AIFS Gathering #4: AI (task)	heenal.eth,michellebaldwin.eth,shannonlanigan.eth,toughtoosk	Feb 5
AIFS Gathering #5: Transforming Capital (task)	heenal.eth,michellebaldwin.eth,shannonlanigan.eth,toughtoosk	Feb 19
AIFS Gathering #5: Transforming Capital (task)	heenal.eth,michellebaldwin.eth,shannonlanigan.eth,toughtoosk	Feb 19
OTF Progress Update - Oct 2024	heenal.eth,michellebaldwin.eth,rathermercurial.eth,yeoro.eth	
OTF Progress Update - Oct 2024	heenal.eth,michellebaldwin.eth,rathermercurial.eth,yeoro.eth	
Set up paragraph.xyz account	heenal.eth	
Set up paragraph.xyz account	heenal.eth	
Publish Social impact paper to paragraph	heenal.eth	
Publish Social impact paper to paragraph	heenal.eth	
O&S Progress Report Week 11	rathermercurial.eth,heenal.eth,yeoro.eth	
O&S Progress Report Week 11	rathermercurial.eth,heenal.eth,yeoro.eth	
AIFS Gatherings Budget	heenal.eth,yeoro.eth,rathermercurial.eth,shannonlanigan.eth,michellebaldwin.eth	
AIFS Gatherings Budget	heenal.eth,yeoro.eth,rathermercurial.eth,shannonlanigan.eth,michellebaldwin.eth	
AIFS Gathering #0: Co-creating the Program (task)	heenal.eth,michellebaldwin.eth,shannonlanigan.eth,toughtoosk	Nov 13, 2024
AIFS Gathering #0: Co-creating the Program (task)	heenal.eth,michellebaldwin.eth,shannonlanigan.eth,toughtoosk	Nov 13, 2024
Onboarding Checklist for New Contributors		
Onboarding Checklist for New Contributors		
Onboarding Colleen Tomlinson	heenal.eth	
Onboarding Colleen Tomlinson	heenal.eth	
Onboarding Julia Hammer	heenal.eth,juliahammer38@gmail.com	
Onboarding Julia Hammer	heenal.eth,juliahammer38@gmail.com	
Onboarding Jose Cabrera	heenal.eth,jose.metagame.wtf	
Onboarding Jose Cabrera	heenal.eth,jose.metagame.wtf	
Storytelling of the Stakeholder Group Journey		
Storytelling of the Stakeholder Group Journey		
O&S Progress Report Week 12	rathermercurial.eth,heenal.eth,yeoro.eth	
O&S Progress Report Week 12	rathermercurial.eth,heenal.eth,yeoro.eth	
Add Harvests from Stakeholder Meetings to Artifacts	heenal.eth	
Add Harvests from Stakeholder Meetings to Artifacts	heenal.eth	
Add Onboarding Artifact	heenal.eth	
Add Onboarding Artifact	heenal.eth	
Metrics Tracking	heenal.eth	
Metrics Tracking	heenal.eth	
Equality Fund Experiment Discovery Report	yeoro.eth,rathermercurial.eth	Nov 4, 2024
Equality Fund Experiment Discovery Report	yeoro.eth,rathermercurial.eth	Nov 4, 2024
Gatherings one-pager	shannonlanigan.eth	
Gatherings one-pager	shannonlanigan.eth	
Design POAPs for Gatherings	rathermercurial.eth	
Design POAPs for Gatherings	rathermercurial.eth	
O&S Progress Report Week 13	rathermercurial.eth,heenal.eth,yeoro.eth	
O&S Progress Report Week 13	rathermercurial.eth,heenal.eth,yeoro.eth	
Onboarding BorrowLucid	rathermercurial.eth	
Onboarding BorrowLucid	rathermercurial.eth	
Mirror Blog - RPP Progress Update - Oct 2024	heenal.eth,michellebaldwin.eth,rathermercurial.eth,yeoro.eth	
Mirror Blog - RPP Progress Update - Oct 2024	heenal.eth,michellebaldwin.eth,rathermercurial.eth,yeoro.eth	
DAO Cell Playbook - RPP	yeoro.eth	
DAO Cell Playbook - RPP	yeoro.eth	
Community Governance Playbook - RPP	yeoro.eth,rathermercurial.eth	
Community Governance Playbook - RPP	yeoro.eth,rathermercurial.eth	
Playbook task (template)		
Playbook task (template)		
Reference knowledge for playbooks	rathermercurial.eth	Nov 12, 2024
Reference knowledge for playbooks	rathermercurial.eth	Nov 12, 2024
Complete DAO primitive docs in the knowledge base		
Complete DAO primitive docs in the knowledge base		
Create a set of visuals and templates for playbooks publication (RPP)		Dec 31, 2024
Create a set of visuals and templates for playbooks publication (RPP)		Dec 31, 2024
		
		
Proposal to create an ephemeral Cell for playbook contributor collaboration 	yeoro.eth,rathermercurial.eth	
Proposal to create an ephemeral Cell for playbook contributor collaboration 	yeoro.eth,rathermercurial.eth	
Translate Social Impact Paper into Spanish	jose.metagame.wtf	
Translate Social Impact Paper into Spanish	jose.metagame.wtf	
Connect with Golem Foundation about potential support for Gatherings	heenal.eth	
Connect with Golem Foundation about potential support for Gatherings	heenal.eth	
web3forgood AIFS Community Project Spotlight	michellebaldwin.eth	
web3forgood AIFS Community Project Spotlight	michellebaldwin.eth	
Develop ideas for RPP future opportunities (RPP Core team)	yeoro.eth,rathermercurial.eth,heenal.eth,michellebaldwin.eth,ananth.eth,Filsan Farah,manuelagarzon	
Develop ideas for RPP future opportunities (RPP Core team)	yeoro.eth,rathermercurial.eth,heenal.eth,michellebaldwin.eth,ananth.eth,Filsan Farah,manuelagarzon	
ICS Experiment Scoping	heenal.eth	Jan 12
ICS Experiment Scoping	heenal.eth	Jan 12
ICS Experiment Implementation Plan	heenal.eth	Jan 12
ICS Experiment Implementation Plan	heenal.eth	Jan 12
Green Pill London - New Chapter Application	heenal.eth	Feb 7
Green Pill London - New Chapter Application	heenal.eth	Feb 7
Future Of Life Institute grant	heenal.eth	Feb 3
Future Of Life Institute grant	heenal.eth	Feb 3
Starling Centre Panel - Expression Of Interest	heenal.eth	Feb 2
Starling Centre Panel - Expression Of Interest	heenal.eth	Feb 2
Application for Octant Epoch 7 - Climate Round	heenal.eth	Feb 13
Application for Octant Epoch 7 - Climate Round	heenal.eth	Feb 13
Social Finance Pattern		
Social Finance Pattern		
"Create Implementation Guide: Setting up a ""Cell"" Based Operational Governance Structure Using the DAO Primitives"	yeoro.eth	
"Create Implementation Guide: Setting up a ""Cell"" Based Operational Governance Structure Using the DAO Primitives"	yeoro.eth	
Gatherings Reporting for OTF	heenal.eth,shannonlanigan.eth	
Gatherings Reporting for OTF	heenal.eth,shannonlanigan.eth	
Create Implementation Guide: Setting up Community a Governance Structure Using the DAO Primitives Framework	yeoro.eth	
Create Implementation Guide: Setting up Community a Governance Structure Using the DAO Primitives Framework	yeoro.eth	
ICS GG23 Expression of Interest	heenal.eth	Mar 17
ICS GG23 Expression of Interest	heenal.eth	Mar 17
Set up ICS multisig	heenal.eth	
Set up ICS multisig	heenal.eth	
Set up ENS for ICS	heenal.eth	
Set up ENS for ICS	heenal.eth	
Map ICS governance structure	heenal.eth	
Map ICS governance structure	heenal.eth	
Set up ICS Hats Tree	heenal.eth	Mar 30
Set up ICS Hats Tree	heenal.eth	Mar 30
Set up ICS Snapshot space	heenal.eth	Mar 30
Set up ICS Snapshot space	heenal.eth	Mar 30
Set up ICS Charmverse space	heenal.eth	Mar 25
Set up ICS Charmverse space	heenal.eth	Mar 25
Integrate ICS into SuperBenefit's on-chain accounting	rathermercurial.eth	Apr 30
Integrate ICS into SuperBenefit's on-chain accounting	rathermercurial.eth	Apr 30
Create Cell State doc for ICS	heenal.eth	Apr 3
Create Cell State doc for ICS	heenal.eth	Apr 3
Karma GAP: Add ICS Milestones, Deliverables & Metrics	heenal.eth	Mar 25
Karma GAP: Add ICS Milestones, Deliverables & Metrics	heenal.eth	Mar 25
Mint Hypercerts & Attestations	heenal.eth	
Mint Hypercerts & Attestations	heenal.eth	
Plan Onboarding Workshop	heenal.eth	May 4
Plan Onboarding Workshop	heenal.eth	May 4
Blockchain4good speaker application	heenal.eth	Apr 4
Blockchain4good speaker application	heenal.eth	Apr 4
Gatherings Evaluation & Next Steps Report	heenal.eth,shannonlanigan.eth	
Gatherings Evaluation & Next Steps Report	heenal.eth,shannonlanigan.eth	
Outstanding Tasks May 2025	heenal.eth	
Outstanding Tasks May 2025	heenal.eth	
Experiment Retrospective Worksheet		
Experiment Retrospective Worksheet		
Experiment retrospectives		
Experiment retrospectives		
AIFS Experiment Reflections		
AIFS Experiment Reflections		
ICS Experiment Reflections		
ICS Experiment Reflections		
Equality Fund Experiment Worksheet		
Equality Fund Experiment Worksheet		
